modelo;tipo_grade;N;execucao;voxel_size;nx;ny;nz;total;occupied;empty;density;t_vox;delta_rss_vox;octree_nodes;leaves_full;leaves_empty;max_depth;t_oct;delta_rss_oct;compression
Armadillo;Justa;200;3;0,7566;169;201;153;5197257;88110;5109147;0,0170;4,385;1,80;359033;69664;244490;8;4,103;70,02;0,0691
Armadillo;Justa;200;4;0,7566;169;201;153;5197257;88110;5109147;0,0170;4,385;1,80;359033;69664;244490;8;0,985;69,23;0,0691
Armadillo;Justa;200;5;0,7566;169;201;153;5197257;88110;5109147;0,0170;4,385;1,80;359033;69664;244490;8;3,412;69,16;0,0691
Armadillo;Justa;200;6;0,7566;169;201;153;5197257;88110;5109147;0,0170;4,385;1,80;359033;69664;244490;8;0,999;69,22;0,0691
Armadillo;Justa;200;7;0,7566;169;201;153;5197257;88110;5109147;0,0170;4,385;1,80;359033;69664;244490;8;1,308;69,00;0,0691
Armadillo;Justa;200;8;0,7566;169;201;153;5197257;88110;5109147;0,0170;4,385;1,80;359033;69664;244490;8;2,419;69,00;0,0691
Armadillo;Justa;200;9;0,7566;169;201;153;5197257;88110;5109147;0,0170;4,385;1,80;359033;69664;244490;8;4,065;69,00;0,0691
Armadillo;Justa;200;10;0,7566;169;201;153;5197257;88110;5109147;0,0170;4,385;1,80;359033;69664;244490;8;4,078;69,00;0,0691
Armadillo;Cubica;200;1;0,7566;200;200;200;8000000;88051;7911949;0,0110;4,385;1,80;328761;75499;212167;8;0,738;53,27;0,0411
Armadillo;Cubica;200;2;0,7566;200;200;200;8000000;88051;7911949;0,0110;4,385;1,80;328761;75499;212167;8;0,678;55,94;0,0411
Armadillo;Cubica;200;3;0,7566;200;200;200;8000000;88051;7911949;0,0110;4,385;1,80;328761;75499;212167;8;3,764;55,88;0,0411
Armadillo;Cubica;200;4;0,7566;200;200;200;8000000;88051;7911949;0,0110;4,385;1,80;328761;75499;212167;8;0,706;56,89;0,0411
Armadillo;Cubica;200;5;0,7566;200;200;200;8000000;88051;7911949;0,0110;4,385;1,80;328761;75499;212167;8;3,738;56,88;0,0411
Armadillo;Cubica;200;6;0,7566;200;200;200;8000000;88051;7911949;0,0110;4,385;1,80;328761;75499;212167;8;1,062;56,88;0,0411
Armadillo;Cubica;200;7;0,7566;200;200;200;8000000;88051;7911949;0,0110;4,385;1,80;328761;75499;212167;8;2,235;55,38;0,0411
Armadillo;Cubica;200;8;0,7566;200;200;200;8000000;88051;7911949;0,0110;4,385;1,80;328761;75499;212167;8;0,707;57,96;0,0411
Armadillo;Cubica;200;9;0,7566;200;200;200;8000000;88051;7911949;0,0110;4,385;1,80;328761;75499;212167;8;0,725;57,17;0,0411
Armadillo;Cubica;200;10;0,7566;200;200;200;8000000;88051;7911949;0,0110;4,385;1,80;328761;75499;212167;8;3,159;55,46;0,0411
Armadillo;Justa;400;1;0,3783;337;401;307;41487059;351913;41135146;0,0085;11,552;9,52;1447689;280117;986611;9;10,451;301,88;0,0349
Armadillo;Justa;400;2;0,3783;337;401;307;41487059;351913;41135146;0,0085;11,552;9,52;1447689;280117;986611;9;10,494;301,49;0,0349
Armadillo;Justa;400;3;0,3783;337;401;307;41487059;351913;41135146;0,0085;11,552;9,52;1447689;280117;986611;9;10,967;301,45;0,0349
Armadillo;Justa;400;4;0,3783;337;401;307;41487059;351913;41135146;0,0085;11,552;9,52;1447689;280117;986611;9;10,576;300,04;0,0349
