modelo;tipo_grade;N;execucao;voxel_size;nx;ny;nz;total;occupied;empty;density;octree_nodes;leaves_full;leaves_empty;max_depth;t_oct;delta_rss_oct;compression
Buda;Justa;200;9;0,7550;84;201;83;1401372;74758;1326614;0,0533;383937;50830;285115;8;0,83628;0,00;0,2740
Buda;Justa;200;10;0,7550;84;201;83;1401372;74758;1326614;0,0533;383937;50830;285115;8;1,18931;0,00;0,2740
Buda;Justa;400;1;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;0,56635;90,58;0,1497
Buda;Justa;400;2;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;0,54949;55,72;0,1497
Buda;Justa;400;3;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;0,54696;51,24;0,1497
Buda;Justa;400;4;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;2,33562;49,76;0,1497
Buda;Justa;400;5;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;0,65385;50,79;0,1497
Buda;Justa;400;6;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;0,65407;45,91;0,1497
Buda;Justa;400;7;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;2,62224;46,84;0,1497
Buda;Justa;400;8;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;0,54682;43,41;0,1497
Buda;Justa;400;9;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;0,57585;118,71;0,1497
Buda;Justa;400;10;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;2,62106;38,69;0,1497
Buda;Cubica;25;1;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00135;0,00;0,2182
Buda;Cubica;25;2;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00132;0,00;0,2182
Buda;Cubica;25;3;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00138;0,00;0,2182
Buda;Cubica;25;4;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00122;0,00;0,2182
Buda;Cubica;25;5;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00116;0,00;0,2182
Buda;Cubica;25;6;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00115;0,00;0,2182
Buda;Cubica;25;7;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00117;0,00;0,2182
Buda;Cubica;25;8;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00115;0,00;0,2182
Buda;Cubica;25;9;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00130;0,00;0,2182
Buda;Cubica;25;10;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00165;0,00;0,2182
Buda;Cubica;50;1;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00498;0,02;0,1118
Buda;Cubica;50;2;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00617;0,00;0,1118
Buda;Cubica;50;3;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00495;0,00;0,1118
Buda;Cubica;50;4;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00640;0,00;0,1118
Buda;Cubica;50;5;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00513;0,00;0,1118
Buda;Cubica;50;6;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00624;0,00;0,1118
Buda;Cubica;50;7;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00488;0,00;0,1118
Buda;Cubica;50;8;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00506;0,00;0,1118
Buda;Cubica;50;9;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00496;0,00;0,1118
Buda;Cubica;50;10;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00495;0,00;0,1118
Buda;Cubica;100;1;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02432;0,09;0,0574
Buda;Cubica;100;2;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02575;0,03;0,0574
Buda;Cubica;100;3;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02143;0,00;0,0574
Buda;Cubica;100;4;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02170;0,00;0,0574
Buda;Cubica;100;5;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02131;0,00;0,0574
Buda;Cubica;100;6;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02219;-0,00;0,0574
Buda;Cubica;100;7;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02276;0,01;0,0574
Buda;Cubica;100;8;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02135;0,00;0,0574
Buda;Cubica;100;9;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02318;0,00;0,0574
Buda;Cubica;100;10;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02551;0,01;0,0574
Buda;Cubica;200;1;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,09462;0,02;0,0322
Buda;Cubica;200;2;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,11243;0,02;0,0322
Buda;Cubica;200;3;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,09330;0,05;0,0322
Buda;Cubica;200;4;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,11283;0,00;0,0322
Buda;Cubica;200;5;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,92181;0,00;0,0322
Buda;Cubica;200;6;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,09384;0,00;0,0322
Buda;Cubica;200;7;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,09430;0,04;0,0322
Buda;Cubica;200;8;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,10765;0,06;0,0322
Buda;Cubica;200;9;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,09224;-0,00;0,0322
Buda;Cubica;200;10;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,09275;0,00;0,0322
Buda;Cubica;400;1;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;0,39686;0,61;0,0168
Buda;Cubica;400;2;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;0,72107;0,03;0,0168
Buda;Cubica;400;3;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;0,44063;0,11;0,0168
Buda;Cubica;400;4;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;3,25635;0,02;0,0168
Buda;Cubica;400;5;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;0,45679;0,08;0,0168
Buda;Cubica;400;6;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;0,46937;0,00;0,0168
Buda;Cubica;400;7;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;0,39609;-0,00;0,0168
Buda;Cubica;400;8;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;0,39479;0,03;0,0168
Buda;Cubica;400;9;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;3,51119;0,02;0,0168
Buda;Cubica;400;10;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;0,39041;0,02;0,0168
